"Name of the college","Affiliated To University","College address","District","State","Status","Year of Estb.","Teaching Upto","Govt or Non Govt","Aided or Unaided"
"Nilgiri Women’s Degree College","Fakir Mohan University, Balasore","Nilgiri, Dist. Balasore","","Odisha","2(f) and 12(B)","2000","Bachelor's","Non Government","Aided"
"Nilkantharao Shinde Science & Arts College","Rashtrasant Tukadoji Maharaj Nagpur  University, Nagpur","Bhadrawati, District Chandrapur","","Maharashtra","2(f) and 12(B)","1993","Bachelor's","Non Government",""
"Nilratan Circar Medical College","Calcutta University, Kolkata","138 - A.J.O. Bose Road, Calcutta - 9, District Calcutta","","West Bengal","2(f) and 12(B)","1948","Bachelor's","Government",""
"Nima Girls Arts College","Hemchandracharya North Gujarat University, Patan","Gozaria, Mehsans","","Gujarat","2(f) and 12(B)","1997","Bachelor's","Non Government",""
"Nimapara College","Utkal  University,  Bhubaneswar","Nimapara, District Puri","","Odisha","2(f) and 12(B)","1963","Bachelor's","Government",""
"Nimbark Teacher Training Mahavidyalaya","Mohan Lal Sukhadia University, Udaipur","Udaipur, District Udaipur","","Rajasthan","2(f)","1978","Bachelor's","Non Government",""
"Nimra College of Engineering & Technology","Jawaharlal Nehru Technological University, Kakinada","Nimra Nagar, Ibrahimpatnam,  Vijayawada-521 456, Dist. Krishna","","Andhra Pradesh","2(f)","1997","Master's","Non Government","Unaided"
"Nimra College of Pharmacy","Jawaharlal Nehru Technological University, Kakinada","Nimra Nagar, Ibrahimpatnam,  Vijayawada-521 456, Dist. Krishna","Krishna","Andhra Pradesh","2(f)","2006","Master's","Non Government","Unaided"
"Niranjan Government Women’s College","Berhampur University, Berhampur","Aska, Ganjam - 761 110","Ganjam","Odisha","2(f) and 12(B)","1983","Bachelor's","Government","Aided"
"Niranjan Mahavidyalaya","Veer Bahadur Singh Purvanchal University, Jaunpur","Mustafabad, Bijaura, Ghazipur – 233 226, Uttar Pradesh","Ghazipur","Uttar Pradesh","2(f)","2012","Bachelor's","Non Government","Unaided"
"Niranjan Singh Mahavidyalaya","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Ugu, Safipur, Unnao - 209 801","Unnao","Uttar Pradesh","2(f) and 12(B)","2015","Bachelor's","Non Government","Unaided"
"Nirma College of Pharmacy","Jawaharlal Nehru Technological University (Kainada)","Nirma Nagar, Ibrahimpatnam,","Krishna","Andhra Pradesh","2(f)","2006","Bachelor's","Non Government","Unaided"
"Nirmal Haloi College","Gauhati University, Guwahati","Patacharkuchi, Barpeta 781 326","Barpeta","Assam","2(f) and 12(B)","1979","Bachelor's","Non Government",""
"Nirmal Krida & Samaj Prabadhan Turst's Arts, Science & Commerce","Dr. Babasaheb Ambedkar Marathwada University, Aurangabad","Badnapur, Dist. Jalna","","Maharashtra","2(f) and 12(B)","1997","Bachelor's","Non Government",""
"Nirmal Mahavidyalaya","University of Kota, Kota","Bayana Road, Hindaun City, Distt. Karauli – 322 230, Rajasthan","Karauli","Rajasthan","2(f)","2006","Master's","Non Government","Unaided"
"Nirmala College","Mahatma Gandhi University, Kottayam","Muvattupuzha, Dist. Ernakulam","","Kerala","2(f) and 12(B)","1953","Master's","Non Government",""
"Nirmala College","Ranchi University,  Ranchi","Hinoo, Ranchi, Dist. Ranchi","","Jharkhand","2(f) and 12(B)","1969","Bachelor's","Non Government",""
"Nirmala College","Vikram University, Ujjain","Premnagar, Dewas Road, Ujjain","Ujjain","Madhya Pradesh","2(f)","2018","Master's","Non-Government","Unaided"
"Nirmala College for Women","Bharathiar University, Coimbatore","Red Fields, District Coimbatore","Coimbatore","Tamil Nadu","2(f) and 12(B)","1948","Master's","Non Government",""
"Nirmala College of Commerce","Mumbai University, Mumbai","Municipal School Bldg., Rani Sati Marg, Malad (East), Mumbai – 400 097, Maharashtra","Mumbai","Maharashtra","2(f)","2007","Bachelor's","Non Government","Unaided"
"Nirmala College of Pharmacy","Acharya Nagarjuna University, Nagarjuna Nagar","Atmakur (V), Mangalagiri (M), Dist. Guntur – 522 503","Guntur","Andhra Pradesh","2(f) and 12(B)","2006","Bachelor's","Non Government","Unaided"
"Nirmala College of Pharmacy,","Jawaharlal Nehru Technological University, Anantapur","Kadapa","","Andhra Pradesh","2(f)","2001","Master's","Non Government","Unaided"
"Nirmala Institute of Education","Goa University, Goa","Altinho - Panaji, Dist. North Goa - 403 001","","Goa","2(f) and 12(B)","1963","Master's","Non Government",""
"Nirmala Institute of Education & Technology,","Dr Ram Manohar Lohia Awadh University, Faizabad","Vishundaspur, Gauriganj, Amethi-227 409","","Uttar Pradesh","2(f)","2015","Bachelor's","Non Government","Unaided"
"Nirmala Memorial Foundation College of Commerce & Science","Mumbai University, Mumbai","D.S. Road, Asha Nagar, Thakur Complex, Kandivali (East), Mumbai – 400 101, Maharashtra","Mumbai","Maharashtra","2(f) and 12(B)","2003","Bachelor's","Non Government","Unaided"
"Nirmala Memorial Foundation College of Education, D.S. Road, Asha Nagar,","University of Mumbai, Mumbai","Thakur Complex,  Kandivali (East),  Mumbai-400 101,","","Maharashtra","2(f)","2008","Bachelor's","Non Government","Unaided"
"Nirmalagiri College","Kannur University, Kannur","Nirmalagiri, Dist. Kannur - 670 701","","Kerala","2(f) and 12(B)","1964","Bachelor's","Non Government",""
"Nirsu Narain Mahavidyalaya","Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur","Singhara, Vaishali – 844 126","Vaishali","Bihar","2(f) and 12(B)","1981","Bachelor's","Non Government","Partly Aided"
"Nishitha Degree College,","Telangana University, Nizamabad","H.No. 5-8-797/2, Beside O/o. Supdt. Of Police, Kanteshwar Road, Nizamabad – 503 003,","Nizamabad","Telangana","2(f) and 12(B)","1994","Bachelor's","Non Government","Unaided"
"Nishtha Chaudhary Mahavidhyalay","Raja Mahendra Pratap Singh State University, Aligarh","Mursan-204 213,  Hathras Uttar Pradesh","","Uttar Pradesh","2(f)","2019","Bachelor's","Non Government","Unaided"
"Nistarini College","Burdwan University, Burdwan","Purulia, District Purulia","","West Bengal","2(f) and 12(B)","1957","Bachelor's","Non Government",""
"Niteshwar Mahavidyalaya","Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur","Muzaffarpur, District Muzaffarpur","Muzaffarpur","Bihar","2(f) and 12(B)","1978","Bachelor's","Government",""
"Nitishwar Ayurved Medical College and Hospital","Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur","Bawan Bigha, Kanhauli, Muzaffarpur - 842 002","Muzaffarpur","Bihar","2(f) and 12(B)","1979","Bachelor's","Non Government","Unaided"
"Nitte Mahalinga Adyanthaya Memorial Institute of Technology","Visvesvaraya Technological University, Belgaum","Nitte-574 110 (Karkala), Taluk, Udupi District","","Karnataka","2(f)","1986","Bachelor's","Non Government",""
"Nitte Meenakshi Institute of Technology","Visvesvaraya Technological University, Belgaum","Govindapura, Gollahalli, P.B. No. 6429, Yelahanka, Bangalore-560 064","","Karnataka","2(f) and 12(B)","2001","Bachelor's","Non Government","Unaided"
"Nivedita Singh Girls Degree College","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","G.T. Road, Shanti Nagar, Fatehpur – 212 601","","Uttar Pradesh","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"Nizam College","Osmania University, Hyderabad","Gunfoundry, District Hyderabad","","Telangana","2(f) and 12(B)","1887","Master's","Government",""
"NKBR College of Professional Studies","Choudhary Charan Singh University, Meerut","Meerut – Hapur Road, Phaphunda, Meerut – 245 206","","Uttar Pradesh","2(f) and 12(B)","2004","Bachelor's","Non Government","Unaided"
"Noble College","Dr. Harisingh Gour Vishwavidyalaya, Sagar","NH-26, Rajakhedi, Makronil, Sagar - 470 004","","Madhya Pradesh","2(f)","2000","Bachelor's","Non Government",""
"Noble College","Krishna University, Machllipatanam","Machilipatnam, District Krishna","Krishna","Andhra Pradesh","2(f) and 12(B)","1966","Bachelor's","Non Government",""
"Noble Women’s College","University of Calicut Calicut University,Kerala","Noble Campus, P.O.  Pullancheri– 676 122,","","Kerala","2(f)","2011","Master's","Non Government","Unaided"
"Noida College of Physical Education","Choudhary Charan Singh University, Meerut","Jawahar Navodaya Vidyalaya Road, Village – Dhoom Manikpur, Near Dadri, Dist. Gautam Budh Nagar","","Uttar Pradesh","2(f) and 12(B)","1999","Master's","Non Government",""
"Noida Institute of Engineering & Technology","Mahamaya Technical University, Gautam Budh Nagar","19, Knowledge Park – II, Greater Noida –  201 306","","Uttar Pradesh","2(f)","2001","Master's","Non Government","Unaided"
"Nongstoin College","North-Eastern Hill University, Shilong","West Khasi Hill District, Meghalaya-793 119","","Meghalaya","2(f) and 12(B)","1987","Bachelor's","Non Government",""
"Nongtalang College","North-Eastern Hill University, Shilong","PO Dawki-793 109, Jaintia Hills","","Meghalaya","2(f) and 12(B)","1992","Bachelor's","Non Government",""
"Nonoi College","Gauhati University, Guwahati","P.O. Nonoi, Nagaon – 782 101","Nagaon","Assam","2(f) and 12(B)","1985","Bachelor's","Non Government","Aided"
"Noorul Islam College of Arts & Science","Manonmaniam Sundaranar University, Tirunelveli","Kumaracoil, Thuckalay, Kanyakumari Dist. – 629 175","","Tamil Nadu","2(f)","2001","Master's","Non Government","Unaided"
"Noorul Islam College of Engineering","Anna University, Chennai","Kumaracoil,  P.B. 1, Thuckalay, Kanyakumari District-629 180","Kanyakumari","Tamil Nadu","2(f)","1989","Bachelor's","Non Government",""
"Nootan Bharati Gram Seva Mahavidyalaya","Hemchandracharya North Gujarat University, Patan","At & Post - Madana – (Gadh), Ta. - Palanpur, Dist - Banaskantha, North Gujarat – 385 519","","Gujarat","2(f) and 12(B)","1987","Bachelor's","Non Government","Aided"
"North Bank College","Dibrugarh University, Dibrugarh","P.O. Ghilamara, District Lakhimpur","Lakhimpur","Assam","2(f) and 12(B)","1961","Bachelor's","Non Government",""
"North Bengal Medical College","North Bengal University, Darjeeling","P.O. Shushrutanagar, Darjeelijng, District Darjeeling","","West Bengal","2(f) and 12(B)","1968","Bachelor's","Government",""
"North Bengal St. Xavier’s College","North Bengal University, Darjeeling","Post Box No. 1, Rajganj, Dist. Jalpaiguri - 735 134","Jalpaiguri","West Bengal","2(f) and 12(B)","2007","Bachelor's","Non Government","Unaided"
"North Bengal University College","North Bengal University, Darjeeling","Rajaram Mohan Pur, Darjeeling","","West Bengal","2(f) and 12(B)","1974","Bachelor's","Government",""
"North East Institute of Social Science & Research","Nagaland University, Kohima","P.B. No. 3, Bishop’s House,Circular Road, Dimapur – 797 112,Nagaland","","Nagaland","2(f)","2014","Master's","Non Government","Unaided"
"North Gauhati College","Gauhati University, Guwahati","Gauhati - 31, District Kamrup","Kamrup","Assam","2(f) and 12(B)","1962","Bachelor's","Non Government",""
"North India College of Higher Education","M.J.P.Rohilkhand University, Bareilly","7th K.M., Bundki Road, Najibabad, Dist. Bijnor – 246 763","Bijnor","Uttar Pradesh","2(f) and 12(B)","2012","Bachelor's","Non Government","Unaided"
"North Kamrup College","Gauhati University, Guwahati","Baghmane, P.O. Barghmane Bazar, Dist. Barpeta","Barpeta","Assam","2(f) and 12(B)","1979","Bachelor's","Non Government",""
"North Lakhimpur College","Dibrugarh University, Dibrugarh","Lakhimpur, District Lakhimpur","Lakhimpur","Assam","2(f) and 12(B)","1952","Bachelor's","Non Government",""
"Nowaraoam Arts & Science College for Women","Bharathiar University, Coimbatore","Nagamala, Archalur, Erode Distt - 638 101","Erode","Tamil Nadu","2(f) and 12(B)","1994","Bachelor's","Non Government",""
"Nowboicha College","Dibrugarh University, Dibrugarh","Doolahat P.O., District Lakhimpur","Lakhimpur","Assam","2(f) and 12(B)","1985","Bachelor's","Non Government",""
"Nowgong College","Gauhati University, Guwahati","Nowgong, District Nagaon","Nagaon","Assam","2(f) and 12(B)","1944","Bachelor's","Non Government",""
"Nowgong Girls' College","Gauhati University, Guwahati","Nowgong, District Nagaon","Nagaon","Assam","2(f) and 12(B)","1963","Bachelor's","Non Government",""
"Nowrangapur College","Berhampur University, Berhampur","Nowrangapur, District Nabarangapur - 764 059","","Odisha","2(f) and 12(B)","1971","Bachelor's","Non Government",""
"Nowrosjee Wadia College","Savitribai Phule Pune University, Pune","Pune, Dist. Pune - 411 001","Pune","Maharashtra","2(f) and 12(B)","1932","Master's","Government",""
"NPR Arts & Science College","Madurai Kamaraj University, Madurai","NPR Nagar, Natham, Dist. Dindigul - 624 401, Tamil Nadu","Dindigul","Tamil Nadu","2(f)","2005","Master's","Non Government","Unaided"
"NRI College of Pharmacy","Jawaharlal Nehru Technological University, Kakinada","Pothavarappadu (V), (Via) Nunna, Agiripalli Mandal, Krishna Dist. – 521 212","Krishna","Andhra Pradesh","2(f)","2007","Master's","Non Government","Unaided"
"NRI Institute of  Information Science & Technology,","Rajiv Gandhi Prodoyogiki Vishwavidyalaya, Bhopal","1, Sajjan Singh Nagar, Opp. Patel Nagar,  Raisen Road, Dist. Bhopal - 462 021,  Madhya Pradesh","Bhopal","Madhya Pradesh","2(f)","2001","Bachelor's","Non Government","Unaided"
"NRI Institute of Pharmaceutical  Science,","Rajiv Gandhi Prodoyogiki Vishwavidyalaya, Bhopal","1, Sajjan Singh Nagar, Opp. Patel Nagar, Raisen Road, Dist. Bhopal - 462 021, Madhya Pradesh","Bhopal","Madhya Pradesh","2(f)","2004","Master's","Non Government","Unaided"
"NRI Institute of Pharmacy","Rajiv Gandhi Prodoyogiki Vishwavidyalaya, Bhopal","Sajjan Singh Nagar, Opp. Patel Nagar, Raisen Road, Dist. Bhopal - 462 022,  Madhya Pradesh","Bhopal","Madhya Pradesh","2(f)","2003","Master's","Non Government","Unaided"
"NRI Institute of Research and Technology","Rajiv Gandhi Prodoyogiki Vishwavidyalaya, Bhopal","1, Sajjan Singh Nagar, Opp. Patel Nagar, Raisen Road, Dist. Bhopal - 462 021, Madhya Pradesh","Bhopal","Madhya Pradesh","2(f)","2008","Master's","Non Government","Unaided"
"NRI Institute of Technology","Jawaharlal Nehru Technological University, Kakinada","Pothavarappadu (V), (Via) Nunna, Agiripalli Mandal, Krishna Dist. – 521 212","Krishna","Andhra Pradesh","2(f) and 12(B)","2008","Master's","Non Government","Unaided"
"NRI Institute of Technology,","Jawaharlal Nehru Technological University, Kakinada","Gundlapalem (V), Visadala Post, Medikondur Mandal, Dist. Guntur – 522 438.","Guntur","Andhra Pradesh","2(f)","2008","Master's","Non Government","Unaided"
"Nrupatugna Arts & Commerce College","Gulbarga University, Gulbarga","Sedam, Dist. Gulbarga","","Karnataka","2(f) and 12(B)","1984","Bachelor's","Non Government",""
"NSHM College of Management & Technology","Maulana Abul Kalam Azad University of Technology, Kolkata","60, B.L. Saha Road,  Kolkata-700 053","","West Bengal","2(f)","2008","Master's","Non Government","Unaided"
"NSHM College of Management & Technology","Maulana Abul Kalam Azad University of Technology, Kolkata","Arrah Shivtala, Via Muchipara,  Durgapur, Dist. Paschim Burdwan-713 212,","","West Bengal","2(f)","2002","Master's","Non Government","Unaided"
"NSHM College of Pharmaceutical Technology","Maulana Abul Kalam Azad University of Technology,  Kolkata","Kolkata – 700 053","","West Bengal","2(f)","2005","Master's","Non Government","Unaided"
"NSHM Knowledge Campus","Maulana Abul Kalam Azad University of Technology, Kolkata","Durgapur – Group of Institutions,  Arrah, Shibtala via Muchipara,  Durgapur – 713 212,","","West Bengal","2(f)","2010","Master's","Non Government","Unaided"
"NTSS'S Shri Shankar Arts & Commerce College","Karnataka University, Dharwad","Navalgund, Dist. Dharwad","","Karnataka","2(f) and 12(B)","1970","Bachelor's","Non Government",""
"NTVS'S College of Education","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Tal - Nandurbar, Dist. Nandurbar - 425 412","","Maharashtra","2(f) and 12(B)","1970","Bachelor's","Non Government",""
"Nursing College","Rajasthan University, Jaipur","Jaipur, District Jaipur","","Rajasthan","2(f) and 12(B)","1963","Bachelor's","Government",""
"Nusrathul Islam Arabic College","Kannur University, Kannur","Kadavathur – P.O., Kannur - District – 670 676","","Kerala","2(f) and 12(B)","1995","Bachelor's","Non Government","Aided"
"Nutab Adarsh Arts & Commerce & Smt. Maniben Hiralal Yadag College of Science","Rashtrasant Tukadoji Maharaj Nagpur  University, Nagpur","Umred, District Nagpur","","Maharashtra","2(f) and 12(B)","1963","Bachelor's","Non Government",""
"Nutan Maharashtra Vidya Prasarak Mandal’s Nutan Maharashtra Institute of Engineering and Technology","Savitribai Phule Pune University, Pune","Samarth Vidya Sankul, Vishnupuri, Telegaon Dabhade, Taluka aval,  District Pune-410 507, Maharashtra","Pune","Maharashtra","2(f)","2008","Bachelor's","Non Government","Unaided"
"Nutan Mahavidyalaya","Swami Ramanand Teerth Marathwada University, Nanded","Sailu - 413 583, Parbhani, District Parbhani","","Maharashtra","2(f) and 12(B)","1968","Master's","Non Government",""
