"Name of the college","Affiliated To University","College address","District","State","Status","Year of Estb.","Teaching Upto","Govt or Non Govt","Aided or Unaided"
"Govt. Degree College","Kakatiya University, Warangal","Garla, Khammam District","","Telangana","2(f)","2009","Bachelor's","Government","Aided"
"Govt. Degree College","Kakatiya University, Warangal","Maripeda, Warangal District","","Telangana","2(f)","2009","Bachelor's","Government","Aided"
"Govt. Degree College","Kashmir University, Srinagar","Baramulla, Dist. Baralmula","Kashmir","Jammu and Kashmir","2(f) and 12(B)","1940","Bachelor's","Government",""
"Govt. Degree College","Sri Krishnadevaraya University, Anantapur","Pathikanda, District Kurnool","Kurnool","Andhra Pradesh","2(f) and 12(B)","1988","Bachelor's","Government",""
"Govt. Degree College","Sri Krishnadevaraya University, Anantapur","Nandikotkur, District Kurnool","Kurnool","Andhra Pradesh","2(f) and 12(B)","1982","Bachelor's","Government",""
"Govt. Degree College","Sri Krishnadevaraya University, Anantapur","Tadapatri, District Anantapur","Anantapur","Andhra Pradesh","2(f) and 12(B)","1978","Bachelor's","Government",""
"Govt. Degree College","Dr Ram Manohar Lohia Awadh University, Faizabad","Sangipur, Pratapgarh","","Uttar Pradesh","2(f)","1995","Master's","Government","Aided"
"Govt. Degree College","Dr Ram Manohar Lohia Awadh University, Faizabad","Mangraura (Atarsand), Pratapgarh – 230 401","","Uttar Pradesh","2(f) and 12(B)","2003","Bachelor's","Government","Aided"
"Govt. Degree College","Dr. B.R. Ambedkar University, Agra","Tappal, Aligarh – 202 165","","Uttar Pradesh","2(f) and 12(B)","2005","Bachelor's","Government","Aided"
"Govt. Degree College","Dr. Harisingh Gour Vishwavidyalaya, Sagar","Bina, Dist. Sagar","","Madhya Pradesh","2(f) and 12(B)","1964","Master's","Government",""
"Govt. Degree College","Dr. B.R. Ambedkar University, Agra","Fatehabad, Agra","","Uttar Pradesh","2(f) and 12(B)","2004","Bachelor's","Government",""
"Govt. Degree College","Jammu University, Jammu Tawi","Ramban","Jammu","Jammu and Kashmir","2(f) and 12(B)","2005","Bachelor's","Government",""
"Govt. Degree College","Jammu University, Jammu Tawi","Bilawar, J&K","Jammu","Jammu and Kashmir","2(f) and 12(B)","2005","Bachelor's","Government",""
"Govt. Degree College","Kumaun University, Nainital","Narayan Nagar, Didihat, Distt. Pithoragarh","","Uttarakhand","2(f) and 12(B)","1983","Bachelor's","Government",""
"Govt. Degree College","Kakatiya University, Warangal","Palencha, Khammam Dist.","","Telangana","2(f) and 12(B)","","Bachelor's","Government",""
"Govt. Degree College","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Pihani, Hardoi","","Uttar Pradesh","2(f) and 12(B)","2000","Bachelor's","Government",""
"Govt. Degree College","Kumaun University, Nainital","Champawat","","Uttarakhand","2(f) and 12(B)","","Bachelor's","Government",""
"Govt. Degree College","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Unnao","","Uttar Pradesh","2(f) and 12(B)","1996","Bachelor's","Government",""
"Govt. Degree College","Tripura University, Agartala","Amarpur, South Tripura","","Tripura","2(f) and 12(B)","1988","Bachelor's","Government",""
"Govt. Degree College","Choudhary Charan Singh University, Meerut","Punwarka, Distt. Saharanpur","","Uttar Pradesh","2(f) and 12(B)","1999","Bachelor's","Government",""
"Govt. Degree College","Kashmir University, Srinagar","Bijbehara","Kashmir","Jammu and Kashmir","2(f) and 12(B)","","Bachelor's","Government",""
"Govt. Degree College","Kashmir University, Srinagar","Uri","Kashmir","Jammu and Kashmir","2(f) and 12(B)","","Bachelor's","Government",""
"Govt. Degree College","Barkatullah University, Bhopal","Ichhawar, Dist. Sehora","","Madhya Pradesh","2(f) and 12(B)","1983","Bachelor's","Government","Aided"
"Govt. Degree College","Tripura University, Agartala","Kamalpur, Distt. Dhaloi","","Tripura","2(f) and 12(B)","1987","Bachelor's","Government",""
"Govt. Degree College","Kashmir University, Srinagar","Pulwama (Kashmir)","Kashmir","Jammu and Kashmir","2(f) and 12(B)","1986","Bachelor's","Government",""
"Govt. Degree College","Kakatiya University, Warangal","Manuguru – 507 117, Dist. Khammam","","Telangana","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Sri Venkateswara University, Tirupati","Porumamilla – 516 193, Kadapa Dist.","Y.S.R.","Andhra Pradesh","2(f) and 12(B)","1981","Bachelor's","Government","Aided"
"Govt. Degree College","Osmania University, Hyderabad","Gajwel, Medak Dist. - 502 278","","Telangana","2(f) and 12(B)","1997","Bachelor's","Government","Aided"
"Govt. Degree College","Kashmir University, Srinagar","Bandipora – 193 502","Kashmir","Jammu and Kashmir","2(f) and 12(B)","2005","Bachelor's","Government","Aided"
"Govt. Degree College","Kakatiya University, Warangal","Mulugu, Warangal Distt","","Telangana","2(f) and 12(B)","1999","Bachelor's","Government","Aided"
"Govt. Degree College","Jammu University, Jammu Tawi","Basohli, Dist. Kathua – 184 201","Jammu","Jammu and Kashmir","2(f) and 12(B)","2005","Bachelor's","Government","Aided"
