"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"445","State","The Sanskrit College and University","Bankim Chaterjee StreetKolkata","700073","West Bengal","2(f)"
"446","State","The Tamil Nadu Dr.J Jayalalithaa Music and Fine Arts University","Dr. D.G.S. Dinakaran SalaiChennai","600028","Tamil Nadu","2(f)"
"447","State","The West Bengal National University of Juridical Science","Aranya Bhavan,10A LA Blk.,S.L City,Calcutta","","West Bengal","2(f) & 12(B)"
"448","State","The West Bengal University of Health Sciences","DD-36, Secotor-1 Salt LakeKolkata","700064","West Bengal","2(f) & 12(B)"
"449","State","Thiruvalluvar University","Serkkadu, VelloreVellore DistrictTamil Nadu","632 115","Tamil Nadu","2(f) & 12(B)"
"450","State","Thunchath Ezhuthachan Malayalam University","Vakad po, Vakad, Tirur, Malappuram DistrictVakkad PO,  Tirur,Malappuram","676502","Kerala","2(f) & 12(B)"
"451","State","Tumkur University","Tumkur University B H Road, Tumkur, Karnataka, IndiaB.H. Road, Tumkur","572103","Karnataka","2(f) & 12(B)"
"452","State","U.P. Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidhyalaya Evam Go-Anusandhan Sansthan","College of Veterinary Science and Animal Husbandry, DUVASU, MathuraUttar Pradesh","281001","Uttar Pradesh","2(f)"
"453","State","U.P. Rajarshi Tandon Open University","Shantipuram (Sector-F), Phaphamau, Prayagraj, Uttar Pradesh.(Sector-F)PhaphamauAllahabad-211013","211013","Uttar Pradesh","2(f)"
"454","State","U.P.King George's University of Dental Sciences","Lucknow","","Uttar Pradesh","2(f)"
"455","State","University of Agricultural Sciences","Lingasuguru Road,Raichur","584104","Karnataka","2(f) & 12(B)"
"456","State","University of Agricultural Sciences Banglore","GKVK -Campus,Bangalore","560 024","Karnataka","2(f) & 12(B)"
"457","State","University of Agricultural Sciences Dharwad","University of Agricultural Sciences, Dharwad (Karnataka)Dharwad","580005","Karnataka","2(f) & 12(B)"
"458","State","University of Gour Banga","Post Office - Mokdumpur, District - Malda,  West Bengal, Pin Code - 732103Distt. Malda","732103","West Bengal","2(f) & 12(B)"
"459","State","University of Horticultural Sciences","NEAR SEMIKERI CROSS, UDYANAGIRI, NAVANAGAR, BAGALKOTNear Seemikeri Cross,Bagalkot","587104","Karnataka","2(f)"
"460","State","University of Kota","Swami Vivekananda Nagar, Kota","324005","Rajasthan","2(f) & 12(B)"
"461","State","University of Ladakh","Melongthang, Leh-Ladakh near FRL, Leh","194101","Ladakh","2(f)"
"462","State","University of Lucknow","Babuganj,Hasanganj,Lucknow","226007","Uttar Pradesh","2(f) & 12(B)"
"463","State","University of North Bengal","PO: North Bengal University, Dist: Darjeeling, West BengalPO North Bengal University,District Darjeeling","734013","West Bengal","2(f) & 12(B)"
"464","State","University of Visvesvaraya College of Engineering","K. R. Circle, Dr Ambedkar Veedhi, Bengaluru","560001","Karnataka","2(f)"
"465","State","Utkal University","Vani Vihar, Bhubaneshwar","751 004","Odisha","2(f) & 12(B)"
"466","State","Utkal University of Culture","SANSKRUTI VIHAR, MADANPUR, Bhubaneswar","752054","Odisha","2(f)"
"467","State","Uttar Banga Krishi Vishwavidyalaya","P.O. Pundibari, Dist. Coochbehar, PIN- 736165Cooch Behar, West Bengal-736165","736165","West Bengal","2(f)"
"468","State","Uttar Pradesh University of Medical Sciences","Saifai,Etawah","206130","Uttar Pradesh","2(f)"
"469","State","Uttarakhand Ayurved University","Railway Road, Harrawala, DehradunRajpur RoadDehradun","248001","Uttarakhand","2(f)"
"470","State","Uttarakhand Open University","Teenpani Bypass, Rampur Road, HaldwaniPost Office:- Industrial EstateHaldwani (Nainital)","263139","Uttarakhand","2(f)"
"471","State","Uttarakhand Sanskrit University","NH-58, BHEL More,  Haridwar-Delhi National Highway,P.O. BahadarabadHaridwar","249 402","Uttarakhand","2(f)"
"472","State","Uttarakhand Technical University","Uttarakhand Technical University,Suddhowal post office chandan wadi,dehradun Uttarkhandwala, Dehrdun","248007","Uttarakhand","2(f)"
"473","State","Vardhman Mahaveer Open University","Rawatbhata Road, KotaRAJASTHAN","324021","Rajasthan","2(f) & 12(B)"
"474","State","Veer Bahadur Singh Purvanchal University","Shahganj Road, JaunpurPIN-222002   (U.P.)","","Uttar Pradesh","2(f) & 12(B)"
"475","State","Veer Chandra Singh Garhwali Uttarakhand University of Horticulture & Forestry","VCSG Uttarakhand University of Horticulture & Forestry, Bharsar, Pauri Garhwal , UttarakhandUttrakhand","246123","Uttarakhand","2(f)"
"476","State","Veer Kunwar Singh University","Ara","802301","Bihar","2(f) & 12(B)"
"477","State","Veer Narmad South Gujarat University","Udhna-Magdalla Road, Surat","395007","Gujarat","2(f) & 12(B)"
"478","State","Veer Surendra Sai Institute of Medical Science and Research","Ayuvihar, Burla, Sambalpur","768017","Odisha","2(f) & 12(B)"
"479","State","Veer Surendra Sai University of Technology","Siddhi Vihar, Burla,  Dist. Sambalpur","768018","Odisha","2(f) & 12(B)"
"480","State","Vesveswaraiah Technological University","Jnana Sangama,Belgaum","590018","Karnataka","2(f) & 12(B)"
"481","State","Vidya Sagar University","PO. -Vidyasagar UniversityMidnapore-721102,Dist.-paschim Mediripur, (W.B.)","","West Bengal","2(f) & 12(B)"
"482","State","Vijayanagara Sri Krishnadevaraya University","BallariVinayaka Nagar,Contonment,Bellary","583105","Karnataka","2(f) & 12(B)"
"483","State","Vikram University","Ujjain,","456 010","Madhya Pradesh","2(f) & 12(B)"
"484","State","Vikrama Simhapuri University","kakutur,Venkatachalam (M.D.),Nellore","524324","Andhra Pradesh","2(f) & 12(B)"
"485","State","Vinoba Bhave University","Hazaribagh,PIN - 825 301. (JHARKHAND)Post Box No.-31","","Jharkhand","2(f) & 12(B)"
"486","State","Vishvakarma Skills University","Jawahar Lal Nehru Marg, Mahesh Nagar Phatak, Tilak Nagar, Jaipur","302015","Rajasthan","2(f)"
"487","State","West Bengal State University","Berunanpukuria,Malikapur,Barasat, 24 Parganas(North),Kolkata - 700126Building 10knc, Kolkata-700124","700126","West Bengal","2(f) & 12(B)"
"488","State","West Bengal University of Animal and Fishery Sciences","37 & 68, ksudiram Bose Sarani, Kolkata-700037","700037","West Bengal","2(f) & 12(B)"
"489","State","West Bengal University of Teachers, Training, Education Planning and Administration","25/2 & 25/3, Ballygunge Circular RoadKolkata","700019","West Bengal","2(f)"
"490","State","Yashwant Rao Chavan Maharashtra Open University","Dnyangangotri Near Gangapur Dam, Nashik,  Maharashtra(India)Gangapur Dam,Nasik-422222","422222","Maharashtra","2(f) & 12(B)"
"491","State","Yogi Vemana University","Vemana Puram,Yogi Vemana University Rd,Ganganapalle","516005","Andhra Pradesh","2(f) & 12(B)"
"492","State","Young India Skills University","ESCI Campus, Gachibowli, Hyderabad","600032","Telangana","2(f)"
